objects,count
label,11
knuckle,11
juggler,11
insignia of rank,11
hull,11
groin,11
gravy,11
gravel pit,11
goldmine,11
gel,11
garden rake,11
force,11
foil,11
field hockey,11
field glass,11
felt,11
fatigue,11
extremity,11
dune buggy,11
drive,11
doorbell,11
dashboard,11
cut,11
cupboard,11
cross,11
cork,11
conductor,11
condition,11
concrete mixer,11
commencement,11
clerk,11
circus,11
circular saw,11
checkup,11
can opener,11
burrito,11
brother,11
broth,11
breakwater,11
boutique,11
bookcase,11
bobbin,11
boat deck,11
bear cub,11
bar soap,11
ballet dancer,11
ballet,11
ammunition,11
aluminum foil,11
X ray,11
Vice President of the United States,11
Moon,11
Lego,11
yelling,10
windmill,10
whole,10
whirlpool,10
whirling dervish,10
way,10
wasp,10
volt,10
volcanic eruption,10
udder,10
trio,10
trench,10
traveler,10
tract,10
tongs,10
tick,10
throat,10
thief,10
test,10
tennis,10
sweat,10
sunscreen,10
storeroom,10
stingray,10
sticks and stone,10
stereo,10
stain,10
sports car,10
spider,10
spaghetti and meatballs,10
soy,10
snowboard,10
snot,10
sniper,10
skull,10
sketchbook,10
silo,10
semitrailer,10
rouge,10
roll,10
rib,10
religious leader,10
recycling bin,10
recruit,10
razor edge,10
racket,10
question,10
prize,10
pretzel,10
position,10
park bench,10
parer,10
paper toweling,10
ore,10
orangutan,10
octopus,10
monument,10
microwave,10
lynx,10
life raft,10
lecturer,10
lawyer,10
keyhole,10
junkyard,10
jewel,10
island,10
insulation,10
incense,10
ice hockey,10
hydraulic system,10
herbicide,10
headache,10
hayfield,10
hatha yoga,10
hare,10
handwriting,10
hamster,10
hairpin,10
gymnastics,10
gutter,10
ground beef,10
gravestone,10
grasshopper,10
forum,10
flooring,10
flipper,10
fire pit,10
film,10
fight,10
fawn,10
exhibition,10
electrician,10
electric drill,10
doorsill,10
dipstick,10
date,10
dainty,10
cube,10
conference center,10
cock,10
cobbler,10
chopstick,10
chameleon,10
certificate,10
cavern,10
cartridge holder,10
capsicum,10
cannon,10
caliper,10
burglar,10
briefcase,10
brewer,10
bow tie,10
body length,10
bite,10
birthday party,10
bird of prey,10
big cat,10
bidding,10
backboard,10
anchor,10
adjustment,10
address,10
ad,10
Dixie cup,10
Crane,10
yogurt,9
wood chisel,9
wire stripper,9
wire cutter,9
white,9
whiskey,9
wedding ring,9
weapon,9
wax paper,9
wash,9
war zone,9
walnut,9
vein,9
upholstery material,9
umpire,9
typewriter,9
tongue depressor,9
television receiver,9
synagogue,9
sushi,9
sun deck,9
suburb,9
substance,9
strength,9
stitch,9
stare,9
sprain,9
space station,9
sole,9
snow thrower,9
snack food,9
shirt button,9
shipyard,9
shin,9
seating,9
scouring pad,9
scooter,9
running shoe,9
rugby ball,9
roofing,9
rockslide,9
ride,9
revolver,9
recliner,9
ratchet,9
queen,9
push,9
public speaking,9
professional football,9
prayer,9
pita,9
pine,9
pimple,9
physical therapist,9
petting zoo,9
petroleum,9
parasail,9
panic,9
nursery,9
nectar,9
muffin,9
moth,9
military march,9
medical practitioner,9
medical officer,9
master of ceremonies,9
masseur,9
marinade,9
lot,9
limestone,9
lens,9
knitting needle,9
kitchen utensil,9
joint,9
jelly,9
intersection,9
human head,9
houseboat,9
horseshoe,9
hockey stick,9
heroin,9
hardwood,9
hand mower,9
good,9
globe,9
genitalia,9
general,9
gelatin,9
franchise,9
forest fire,9
folder,9
floorboard,9
fixture,9
firing range,9
fire alarm,9
fastener,9
family room,9
engine block,9
electronic equipment,9
drinking fountain,9
dome,9
disposable,9
dishwater,9
cycling,9
cricketer,9
cricket bat,9
crevasse,9
costume,9
confusion,9
compressed air,9
compost heap,9
comedian,9
coil,9
coffee mug,9
coffee maker,9
cleaning,9
cityscape,9
chevron,9
chamois cloth,9
catheter,9
cashier's check,9
carving knife,9
caressing,9
card game,9
buyer,9
bus terminal,9
brace,9
blowtube,9
beginning,9
bath,9
baseball team,9
barber chair,9
bank card,9
balance,9
baked goods,9
bagel,9
assortment,9
artillery,9
apple orchard,9
air compressor,9
affection,9
Petri dish,9
New York,9
Molotov cocktail,9
Independence Day,9
Cross,9
Arctic,9
worship,8
window cleaner,8
win,8
watermelon begonia,8
water cooler,8
waste,8
venom,8
urban area,8
upstairs,8
turtleneck,8
trouser press,8
treat,8
trainee,8
tortoise,8
tip,8
tin,8
theme park,8
textbook,8
telephone pole,8
telephone booth,8
tavern,8
tap,8
tackle,8
stand,8
sprayer,8
sparkler,8
snare drum,8
slab,8
skewer,8
shape,8
sewage,8
scrubland,8
scrubber,8
screw thread,8
scorpion,8
schoolmate,8
savings bank,8
salesman,8
safety match,8
roller coaster,8
release,8
rein,8
reception,8
reason,8
reamer,8
radish,8
push broom,8
pudding,8
prong,8
porpoise,8
pommel horse,8
point,8
pocketknife,8
plane,8
piglet,8
pew,8
peace,8
paperwork,8
ostrich,8
ophthalmoscope,8
numeral,8
neonate,8
native,8
muzzle,8
motorized wheelchair,8
microbrewery,8
memory,8
melon,8
medical care,8
mashed potato,8
long trousers,8
logo,8
load,8
leek,8
keycard,8
jumping,8
joke,8
jogger,8
jewelry dealer,8
intravenous drip,8
ice lolly,8
hired hand,8
hello,8
heater,8
hair spray,8
golf pro,8
glaze,8
freshener,8
forge,8
flame tree,8
fern,8
fender,8
fame,8
eye contact,8
explosive,8
exercise device,8
entree,8
eggplant,8
egg roll,8
dispenser,8
die,8
diamond,8
detail,8
decal,8
daycare,8
dairy cattle,8
currency,8
cuff,8
cry,8
crossing,8
cricket match,8
credit,8
cradle,8
cooking oil,8
convertible,8
convenience store,8
convenience food,8
component,8
church service,8
chicken wing,8
charwoman,8
charger,8
casserole,8
carpet,8
caramel,8
canopy,8
canned food,8
candlestick,8
buttock,8
butcher shop,8
butane,8
bust,8
bush,8
broccoli,8
bowling alley,8
body weight,8
boatman,8
blood sugar,8
blackjack,8
birdbath,8
bird shot,8
battle,8
baster,8
barbecue pit,8
bandstand,8
backdrop,8
artichoke,8
approach,8
anger,8
alteration,8
air base,8
acerate leaf,8
abattoir,8
abacus,8
X-ray film,8
Velcro,8
SWAT team,8
Mason jar,8
Marine,8
Kleenex,8
Clinton,8
CD player,8
American football,8
woman's clothing,7
waterfront,7
water pistol,7
walrus,7
walkie-talkie,7
volcanic crater,7
vinegar,7
very important person,7
vanguard,7
tuber,7
truss,7
tournament,7
tee,7
tea bag,7
tack,7
tablecloth,7
t'ai chi,7
switchboard,7
study,7
stud,7
stability,7
squid,7
speed skate,7
spaghettini,7
snowboarder,7
smoothie,7
slingshot,7
sliding door,7
sledder,7
sifter,7
shot put,7
shopper,7
shield,7
sheriff,7
server,7
seam,7
scrub,7
schoolyard,7
scanner,7
satchel,7
safe,7
rock climber,7
riot,7
riding crop,7
rib cage,7
reef,7
red wine,7
range pole,7
radiotelephone,7
radio station,7
prison guard,7
pork,7
pool table,7
planet,7
pipeline,7
pencil sharpener,7
pedestrian,7
paving,7
passenger train,7
parking,7
pack of cards,7
overlook,7
outdoor sport,7
official,7
oatmeal,7
nonexistence,7
mountain goat,7
mole,7
mold,7
mint,7
metal screw,7
meet,7
meat grinder,7
marina,7
mantel,7
mansion,7
lumberman,7
location,7
light pen,7
leak,7
lasso,7
lacrosse,7
keg,7
jumbojet,7
irons,7
image,7
ice-cream cone,7
hug,7
hot air,7
homework problem,7
holiday,7
handsaw,7
handcuff,7
grocery bag,7
grindstone,7
great white shark,7
grandfather,7
graffito,7
grade school,7
gingerbread,7
gazebo,7
garden tool,7
garbage collection,7
front door,7
foal,7
flask,7
flare,7
flamethrower,7
figure,7
fighter pilot,7
fever,7
facial hair,7
expressway,7
exercise bike,7
enemy,7
electric,7
dune,7
duct,7
dry dock,7
director,7
dinosaur,7
diagram,7
detector,7
dark,7
crow,7
crochet needle,7
cricket ball,7
crack,7
corset,7
corrugated board,7
cooking,7
convict,7
commercial enterprise,7
cold cream,7
colander,7
cocaine,7
climbing frame,7
cleaver,7
chocolate fondue,7
chariot,7
character,7
chapel,7
carpet sweeper,7
car dealer,7
capsule,7
cake mix,7
cafeteria facility,7
business card,7
business,7
buff,7
bubble bath,7
brake system,7
brake,7
blueberry,7
blow,7
blouse,7
billboard,7
beetle,7
barricade,7
barbed wire,7
ax head,7
attention,7
assembly,7
arena theater,7
architect,7
arch,7
appearance,7
agent,7
adult female body,7
Washington,7
Putin,7
Olympic Games,7
National Aeronautics and Space Administration,7
Muslim,7
God,7
German shepherd,7
Gazella subgutturosa,7
Eskimo dog,7
Coca Cola,7
Allen wrench,7
zombi,6
yellow jacket,6
yam,6
workroom,6
winning,6
wick,6
wetland,6
wedding reception,6
warship,6
ward,6
voter,6
violinist,6
vacant lot,6
upright,6
unicycle,6
underpass,6
turntable,6
turn,6
truncheon,6
training,6
trail riding,6
tie,6
tide,6
tidal wave,6
thing,6
text,6
table knife,6
swordfish,6
surgical instrument,6
streetlight,6
stew,6
spread,6
spinach,6
spark plug,6
spareribs,6
somewhere,6
soak,6
smelter,6
slipper,6
sling,6
slide fastener,6
silk,6
silence,6
sight,6
shuttle bus,6
shove,6
shoreline,6
shoe shop,6
service station,6
sermon,6
sergeant,6
seaweed,6
seat cushion,6
scrambled eggs,6
school assignment,6
scaffold,6
sawdust,6
roentgenogram,6
rock group,6
rind,6
reservoir,6
rehabilitation program,6
rainbow,6
rain forest,6
purse,6
puree,6
projector,6
professional,6
pop bottle,6
plunger,6
place-kicker,6
pill bottle,6
pianist,6
penicillin,6
pedal,6
paper clip,6
paintball gun,6
padding,6
package store,6
outcrop,6
orator,6
opener,6
nude,6
nape,6
musket,6
musical,6
monkey-wrench,6
mixture,6
millstone,6
medical center,6
mechanism,6
master,6
massage,6
marine,6
marble,6
manure,6
locomotive,6
liner,6
lime,6
level,6
lavender,6
knight,6
kite,6
kindling,6
kibble,6
jury,6
jumper,6
job,6
irrigation,6
instrumental music,6
hurdler,6
hot spring,6
homework,6
holy water,6
herd,6
hen,6
heel,6
hearing aid,6
headdress,6
hanger,6
hand truck,6
hand shovel,6
hand pump,6
groundhog,6
griddle,6
graphite,6
grapefruit,6
graduated cylinder,6
glucose tolerance test,6
glacier,6
geography,6
generator,6
garbage man,6
fuss,6
fuse,6
fryer,6
fruit tree,6
fruit juice,6
fresh water,6
foodstuff,6
flute,6
flow,6
flight deck,6
flatcar,6
fire station,6
finger-pointing,6
fin,6
filter,6
figure skate,6
fence line,6
fastening,6
fairground,6
eyedrop,6
espresso,6
engraving,6
engineering,6
employer,6
emery stone,6
emergency room,6
emblem,6
electric guitar,6
easy chair,6
earphone,6
duffel bag,6
duet,6
drum major,6
driving,6
drilling bit,6
dressing,6
domino,6
district,6
dishrag,6
dance band,6
cruise,6
crow's foot,6
crossbar,6
cream cheese,6
crayfish,6
crash,6
crap,6
conveyer,6
control,6
consumer goods,6
commodity,6
comic book,6
coloring,6
cleaning implement,6
chocolate bar,6
chicken coop,6
charity,6
charge,6
championship,6
chaff,6
ceramic,6
catwalk,6
catsup,6
cat food,6
cartridge,6
cargo helicopter,6
cardinal,6
caffe latte,6
cadet,6
butterfly weed,6
butcher board,6
burial,6
broccoli raab,6
broadcast,6
bridle,6
boxcar,6
boomerang,6
book fair,6
boards,6
blower,6
billiard room,6
believer,6
bean sprout,6
batting cage,6
bang,6
artifact,6
acorn,6
Wilderness,6
United States,6
Transportation Security Administration,6
Roman Catholic,6
O.K.,6
Labrador retriever,6
Commission on the Status of Women,6
Catholic Church,6
Bible,6
Bengal tiger,6
zoo keeper,5
yoke,5
yardstick,5
wrestle,5
womanhood,5
wildcat,5
wicker basket,5
watering place,5
washboard,5
warplane,5
war,5
visitor,5
victory celebration,5
vending machine,5
typing,5
turkey leg,5
trunk lid,5
tread,5
tow,5
tongue and groove joint,5
toilet roll,5
tithe,5
third base,5
things,5
thermostat,5
test room,5
television station,5
talk show,5
tail fin,5
symbol,5
swimsuit,5
sweatshop,5
surgery,5
subordinate,5
stucco,5
strain,5
stewardess,5
steel wool,5
steam shovel,5
state,5
starfish,5
sponge mop,5
spinning,5
soup ladle,5
sound camera,5
solar system,5
soft drink,5
snap,5
smudge,5
smell,5
skating,5
skater,5
sill,5
silhouette,5
sideline,5
shower stall,5
shot putter,5
shag rug,5
seesaw,5
security,5
screen door,5
scantling,5
saline solution,5
salesclerk,5
safety belt,5
rust,5
ruin,5
row,5
router,5
roofer,5
robotics equipment,5
robe,5
retention,5
resort,5
residential district,5
reptile,5
remark,5
rehabilitation,5
recreation room,5
receptionist,5
razorblade,5
ravine,5
rag doll,5
rabbi,5
quill,5
quartet,5
pug,5
pruning saw,5
protractor,5
propeller,5
printer,5
prayer rug,5
power station,5
potter's clay,5
pot plant,5
postbox,5
poor people,5
pole vault,5
poison,5
platter,5
photo opportunity,5
phone,5
perch,5
pepperoni,5
pepper mill,5
pendant,5
peanuts,5
patchwork,5
partition,5
paratrooper,5
pantry,5
pantie,5
panther,5
pageant,5
pack,5
osprey,5
oreo,5
order,5
opossum,5
olive,5
officiant,5
octagon,5
oarswoman,5
newscaster,5
navy,5
mugger,5
moving van,5
moviegoer,5
mourner,5
mountaineer,5
mountain trail,5
motion,5
mortarboard,5
moped,5
mitten,5
mineral,5
menu,5
memory device,5
maple syrup,5
manhole,5
luminosity,5
lottery,5
loosening,5
loop,5
links,5
link,5
lift,5
life preserver,5
leopardess,5
lector,5
learning,5
lawn chair,5
laser,5
lampshade,5
lagoon,5
lacuna,5
kit,5
kiss,5
king,5
kindergarten,5
jump,5
joist,5
jack-o'-lantern,5
jack,5
ivy,5
interstate,5
internet,5
insulin,5
infantryman,5
idea,5
iceberg,5
ice-skater,5
ice skating,5
hypodermic needle,5
hydrant,5
hotness,5
hostage,5
hornet,5
hive,5
heron,5
hatchet,5
handout,5
handicapped person,5
gunnysack,5
guacamole,5
ground floor,5
greyhound,5
greeting,5
green bean,5
gravy boat,5
government office,5
goblet,5
ginger,5
gearset,5
garlic press,5
garden trowel,5
gang,5
gambler,5
friendship,5
fracture,5
football coach,5
flat tip screwdriver,5
first lady,5
firecracker,5
file folder,5
fecal matter,5
fatness,5
facility,5
ethernet cable,5
engagement ring,5
empty,5
electric toothbrush,5
electric mixer,5
easel,5
earring,5
dust devil,5
dragonfly,5
dragon,5
drafting board,5
dormitory,5
dogsled,5
dog show,5
diving board,5
distillery,5
dinner jacket,5
diameter,5
determination,5
deodorant,5
demonstration,5
delivery truck,5
delicatessen,5
dealer,5
dartboard,5
dart player,5
dame,5
cowgirl,5
cowboy hat,5
couch,5
cosmetic,5
cornstalk,5
cornet,5
core,5
coral reef,5
container ship,5
congressman,5
compass,5
compartment,5
community,5
clothes dryer,5
clock time,5
climb,5
civilian,5
cinnamon roll,5
chocolate milk,5
chicken wire,5
cheesecloth,5
cello,5
cash register,5
cardiac rhythm,5
car tire,5
capybara,5
captivity,5
cantaloupe,5
candlelight,5
camera lens,5
camcorder,5
burrow,5
bunk bed,5
bungee,5
bulletin board,5
bulldog,5
break,5
brain,5
bonsai,5
blond,5
bishop,5
bib,5
betting shop,5
bench press,5
beer mug,5
beagle,5
beach wagon,5
basil,5
baseball coach,5
baptism,5
badger,5
background,5
back porch,5
baboon,5
axle,5
awl,5
automobile factory,5
auricle,5
attraction,5
atmospheric pressure,5
asparagus,5
armrest,5
argument,5
archery,5
apron,5
antifreeze,5
anthill,5
antenna,5
alarm,5
air passage,5
air gun,5
age,5
adhesive tape,5
addict,5
Windows,5
United States Army,5
Peron,5
Mace,5
Jew,5
Jackson,5
Humvee,5
Crock Pot,5
Christmas,5
China,5
Band Aid,5
wreckage,4
world,4
words,4
woodpecker,4
wolf pup,4
witness,4
witch,4
winner,4
window blind,4
winch,4
wildfire,4
wild,4
white bread,4
well point,4
weightlift,4
web site,4
weasel,4
water system,4
watchband,4
wastepaper basket,4
warrior,4
wardrobe,4
wading pool,4
vitamin,4
vise,4
villager,4
viewing audience,4
video recording,4
ventilation,4
vagina,4
universe,4
underbrush,4
turbine,4
tsunami,4
truffle,4
trellis,4
tree house,4
trapeze,4
trap,4
transsexual,4
traffic light,4
traffic cop,4
toyshop,4
towel rack,4
token,4
toiletry,4
toilet bowl,4
tire iron,4
tiger cub,4
throwing stick,4
therapy,4
thatch,4
tennis pro,4
telephone cord,4
tease,4
teaching,4
tangerine,4
table saw,4
tab key,4
tab,4
system of weights,4
sweet potato,4
suspension,4
surf,4
superior,4
succulent,4
submersible,4
sty,4
studentship,4
stress,4
stock,4
steward,4
stevedore,4
stencil,4
steamer,4
stake,4
spine,4
spike,4
speed,4
spatulate leaf,4
spacesuit,4
solution,4
snowman,4
snowfield,4
snowcap,4
snow leopard,4
sleeping bag,4
slant,4
skyline,4
skill,4
ski jump,4
skeletal system,4
shower room,4
short pants,4
shopping,4
shipping,4
shawl,4
setting,4
set,4
secretary,4
seasoning,4
seashell,4
sealing wax,4
screw wrench,4
scream,4
scratcher,4
score,4
science museum,4
schoolchild,4
scaffolding,4
satisfaction,4
sanitation,4
sandbox,4
sandbag,4
sandal,4
salsa,4
salesperson,4
salami,4
safety rail,4
saddle,4
ruler,4
royalty,4
rockers,4
rocker,4
rock star,4
ritual,4
rifleman,4
rescuer,4
request,4
remedy,4
religious ceremony,4
refried beans,4
redcoat,4
rectangularity,4
record player,4
record,4
receipt,4
rawhide,4
raven,4
random-access memory,4
rainstorm,4
rafter,4
quadruped,4
pup,4
pronghorn,4
proletarian,4
projectile,4
progress,4
princess,4
prince,4
priestess,4
pressure gauge,4
pregnancy,4
power line,4
power,4
powdered sugar,4
poultry,4
postage,4
porcupine,4
ponytail,4
pompon,4
plastering trowel,4
placement,4
pivot,4
pipet,4
piper,4
pinecone,4
pickle,4
photography,4
phase,4
pet,4
pesto,4
pavilion,4
patch,4
parish,4
pants suit,4
pant leg,4
paneling,4
pair,4
paddock,4
pacifier,4
origami,4
operating table,4
open-end wrench,4
olfactory property,4
oil lamp,4
occupation,4
obstacle,4
oat,4
nuts and bolts,4
nursing,4
night,4
news program,4
net income,4
needlenose pliers,4
narcotic,4
nailbrush,4
music teacher,4
mountain gorilla,4
motorcycle cop,4
morsel,4
mining,4
mincer,4
military unit,4
middle,4
message,4
mess,4
meringue,4
menace,4
meerkat,4
medicine ball,4
medical building,4
medical assistant,4
measure,4
masonry,4
marsupial,4
marijuana,4
marcher,4
marathoner,4
man-of-war,4
man hour,4
magnetic disk,4
machine shop,4
mace,4
lunchroom,4
luffa,4
look,4
lobster tail,4
lobby,4
little brother,4
liquid crystal display,4
lionfish,4
linoleum,4
limousine,4
life buoy,4
life,4
leaf mold,4
lead,4
law enforcement agency,4
launderette,4
laugh,4
lathe,4
laser beam,4
lasagna,4
laminate,4
ladybug,4
lacrosse ball,4
knowledge domain,4
knife edge,4
kangaroo apple,4
jewelry maker,4
jackal,4
iron ore,4
interviewee,4
instruction manual,4
inoculation,4
inmate,4
index,4
impala,4
icicle,4
ice cube,4
hydrogen peroxide,4
hummus,4
hubcap,4
horticulturist,4
horse cart,4
horizon,4
homosexual,4
high wire,4
headband,4
head covering,4
hardware,4
half,4
hairdo,4
ground squirrel,4
groove,4
groomsman,4
graph paper,4
government building,4
goldfish,4
golden eagle,4
gold miner,4
glider,4
glassware,4
gland,4
gerbil,4
gentleman,4
gas burner,4
garlic bread,4
galaxy,4
frustration,4
freight car,4
fountain pen,4
foul,4
fortune cookie,4
focus,4
flow chart,4
flight,4
flexibility,4
flea market,4
flat bench,4
fitting,4
fish scale,4
film star,4
field day,4
fiber,4
ferret,4
feed grain,4
face mask,4
eyebrow pencil,4
extraterrestrial being,4
expression,4
esthetician,4
escalator,4
eraser,4
entertainer,4
elevation,4
electric hammer,4
egg white,4
eating,4
dust storm,4
dressing room,4
double,4
doorjamb,4
disgust,4
disabled,4
dining area,4
dew,4
detergent,4
destruction,4
dentistry,4
deliveryman,4
defense,4
deep-freeze,4
decay,4
debate,4
dash,4
dance school,4
daisy,4
cutout,4
crying,4
crumb,4
cripple,4
cricket,4
crap shooting,4
craftsman,4
cracker crumbs,4
cover plate,4
court game,4
corridor,4
coroner,4
coriander,4
copper,4
conversation,4
control room,4
consolation,4
conference table,4
composition,4
company,4
commuter,4
college,4
cold,4
coffee table,4
cocktail,4
clove,4
cloudiness,4
clothespin,4
clothes hamper,4
clergy,4
cleaning pad,4
clay pigeon,4
classroom project,4
citrus,4
circuitry,4
cinnamon,4
cigarette butt,4
chorus,4
chop-suey greens,4
chocolate chip cookie,4
chicken leg,4
chestnut,4
chest,4
chandelier,4
centrifuge,4
cavalry,4
casualty,4
cassette tape,4
carpenter's hammer,4
card player,4
byway,4
businessperson,4
burn,4
bulb,4
brownie,4
broken arch,4
brewer's yeast,4
bratwurst,4
boxing match,4
boxing,4
bowstring,4
bowling ball,4
bovine,4
bottled water,4
boot camp,4
bodybuilding,4
body temperature,4
board game,4
boar,4
bit,4
bird feeder,4
biceps brachii,4
belt buckle,4
beggar,4
beer can,4
bedding material,4
beacon,4
basketball coach,4
base on balls,4
barrack,4
bandanna,4
backing,4
awning,4
asynchronous transfer mode,4
ashtray,4
army officer,4
application,4
applesauce,4
anvil,4
anus,4
anteater,4
alarm clock,4
agriculturist,4
adult male body,4
adipose tissue,4
adhesiveness,4
acid,4
abdominal,4
World Trade Center,4
Washington Monument,4
United States Marine Corps,4
TV dinner,4
Spanish American,4
Segway,4
SOS,4
Red,4
Marines,4
Hippo,4
Grand Canyon,4
Geiger counter,4
English,4
Dutch oven,4
Communion,4
Capitol,4
Boy Scout,4
Barber,4
Australia,4
Asian,4
Antarctic,4
American black bear,4
African-American,4
African,4
yield,3
worldly possessions,3
working,3
workbook,3
woodcarver,3
wood grain,3
won ton,3
wine tasting,3
window washer,3
window shade,3
wind turbine,3
wild dog,3
whaler,3
weight unit,3
wedge,3
waterside,3
watercourse,3
watercolor,3
watchmaker,3
washtub,3
washroom,3
warthog,3
warehouser,3
ware,3
walker,3
wafer,3
voice over,3
vital sign,3
vinifera,3
vigil light,3
video,3
vice president,3
vest,3
vapor,3
vacation,3
unknown quantity,3
undercarriage,3
tying,3
two,3
tutorial,3
tuning,3
tuna,3
tulip,3
trout,3
troop,3
tripod,3
tribesman,3
trash,3
tramp,3
trailer camp,3
track and field,3
toy dog,3
torture,3
torpedo,3
toothache,3
toolbox,3
tool steel,3
tomahawk,3
thumbtack,3
throne,3
thickness,3
testis,3
testing,3
terra cotta,3
tennis match,3
television room,3
tea urn,3
taxidriver,3
tattoo,3
tape player,3
swimming event,3
swatch,3
suture,3
surfing,3
sunset,3
sunglasses,3
sunflower seed,3
sulky,3
suffocation,3
suction cup,3
stripe,3
stretch pants,3
storm,3
stockroom,3
steam engine,3
stealth bomber,3
start,3
spray painting,3
spill,3
spider web,3
speedskater,3
speech,3
spaniel,3
spaghetti sauce,3
sour cream,3
soup kitchen,3
soft pretzel,3
social event,3
soap dispenser,3
soap bubble,3
smoke bomb,3
small boat,3
slum,3
sled dog,3
slap,3
skip,3
skilled worker,3
sketcher,3
skeleton key,3
singlet,3
silverware,3
signature,3
sieve,3
sidewall,3
shrine,3
shopping bag,3
shop class,3
shooting,3
shoal,3
shallot,3
shadow,3
senior high school,3
senator,3
self-feeder,3
seed corn,3
seaside,3
scratch,3
scimitar,3
schoolgirl,3
scarecrow,3
satellite,3
sash,3
sanitary landfill,3
sandbar,3
salt lick,3
sailing vessel,3
safety pin,3
safari park,3
saber,3
rundle,3
rudder,3
rubber cement,3
rowing club,3
roulette wheel,3
rose bed,3
rope yarn,3
rock concert,3
robotics,3
riveting machine,3
rival,3
reviewer,3
retirement community,3
rest,3
respondent,3
residence,3
research worker,3
replica,3
repairman,3
religious person,3
religious holiday,3
regiment,3
reflection,3
refinery,3
reenactor,3
reed,3
reception desk,3
rave,3
rate,3
raspberry,3
radiator,3
radiation,3
racing,3
quarryman,3
protection,3
prostitute,3
propaganda,3
probe,3
primate,3
preschool,3
prairie dog,3
potty seat,3
potter's wheel,3
pothole,3
pot metal,3
post office,3
possession,3
portrayal,3
pontoon,3
polyvinyl chloride,3
pneumatics,3
plumbing fixture,3
platoon,3
plaque,3
planting,3
pizzeria,3
piston rod,3
pipe cleaner,3
picnic,3
picker,3
pharmacy,3
perpetrator,3
penis,3
penetration,3
peer,3
patron,3
parking space,3
parishioner,3
papaya,3
pancake batter,3
packer,3
packaged goods,3
oyster,3
oxygen,3
outgrowth,3
outfit,3
organization,3
orbit,3
omelet,3
old age,3
ointment,3
oil well,3
oil tanker,3
nutshell,3
novel,3
neck brace,3
national,3
nasal cavity,3
nanny,3
nan,3
nailer,3
mustard,3
mussel,3
mushy peas,3
murderer,3
muralist,3
mousse,3
monastery,3
mix,3
mist,3
missionary,3
minnow,3
military vehicle,3
microbe,3
mesh,3
mermaid,3
medic,3
mechanical engineer,3
mechanical device,3
meatball,3
mare,3
man of means,3
mailman,3
magpie,3
magma,3
lubricant,3
lover,3
love,3
lotto,3
litterbin,3
lint,3
lignite,3
lifeguard,3
lick,3
leopard cat,3
lemonade,3
leap,3
lead pencil,3
landscape architect,3
landing gear,3
laborer,3
kung fu,3
knoll,3
kitchen island,3
kitchen appliance,3
kin,3
joystick,3
joker,3
jimmies,3
jig,3
ironing board,3
internal organ,3
insurgent,3
inlet,3
ink cartridge,3
influenza,3
industrial park,3
ice pack,3
hydrogen,3
husk,3
hundred dollar bill,3
hula-hoop,3
house of cards,3
hound,3
hot plate,3
homeowner,3
hit,3
hippie,3
hindquarters,3
high jump,3
hero,3
health professional,3
headscarf,3
headlight,3
hardware store,3
happiness,3
hang glider,3
handset,3
hand cream,3
hamstring,3
halter,3
gunman,3
gun trigger,3
guidance,3
guardsman,3
guardhouse,3
grocer,3
grizzly,3
grief,3
grenade,3
greenery,3
green pepper,3
green onion,3
grape arbor,3
graduating class,3
graduate student,3
grade,3
grace,3
gown,3
gourd,3
gong,3
golf bag,3
goldfish bowl,3
golden retriever,3
goal line,3
gift wrap,3
gecko,3
gearshift,3
gas range,3
garrison,3
gardening,3
garden spade,3
game show,3
game bird,3
fungus,3
fundraiser,3
four-wheeler,3
four-wheel drive,3
flint,3
flax,3
flash memory,3
flange,3
flamingo,3
fitted sheet,3
fitness,3
fish stick,3
fish farm,3
first aid,3
fillet,3
fiberboard,3
fencing,3
fencer,3
female chest,3
fear,3
fast food,3
farm machine,3
facet,3
faceplate,3
external drive,3
exhilaration,3
excelsior,3
excavation,3
equalizer,3
enchantress,3
emu,3
employment agency,3
embrace,3
ellipse,3
elf,3
electronic voltmeter,3
electrical system,3
electric potential,3
effort,3
edible fruit,3
earlobe,3
dustpan,3
ducks and drakes,3
drug addict,3
droplet,3
drogue parachute,3
drill steel,3
drill master,3
drawknife,3
drafting table,3
disinfectant,3
discus,3
discipline,3
dipper,3
diploma,3
digital voltmeter,3
departure,3
dental hygienist,3
defeat,3
deck chair,3
dead person,3
darkness,3
dancing school,3
cylinder lock,3
cycle,3
cutlery,3
crystal,3
crucible,3
crowding,3
crossbow,3
crockery,3
crochet,3
crevice,3
crescent roll,3
craps,3
crankshaft,3
crank,3
crag,3
crab legs,3
cotton ball,3
cookout,3
contractor,3
confrontation,3
confetti,3
confectionery,3
condom,3
conditioner,3
concoction,3
conciliator,3
committee,3
commanding officer,3
comic strip,3
combination,3
coloring material,3
cologne,3
collage,3
coffee urn,3
code,3
cocktail shaker,3
coati,3
clover,3
cloak,3
clipboard,3
cleaner,3
city center,3
citizen,3
cigarette paper,3
chrysalis,3
chocolate candy,3
chives,3
childbirth,3
chest pain,3
chemist,3
chemical reaction,3
cellulose tape,3
catfish,3
cassette player,3
cartoonist,3
carrier,3
caregiver,3
cappuccino,3
campaigner,3
call center,3
calibration,3
calendar,3
caldron,3
calamity,3
cabinetwork,3
buzzer,3
busman,3
business suit,3
business district,3
bunker,3
bumper car,3
bullying,3
builder,3
buggy,3
